order_id,client_id,order_date,order_time,menu_item_id,quantity,discount (%),total_price ($)
1100001,1802,2022-06-01,08:00:00,105,2,0,29.98
1100001,1802,2022-06-01,08:00:00,115,3,0,26.97
1100002,1705,2022-06-01,08:04:00,133,2,0,29.0
1100002,1705,2022-06-01,08:04:00,110,2,15,10.18
1100002,1705,2022-06-01,08:04:00,124,1,0,5.99
1100003,1484,2022-06-01,08:05:00,134,3,0,40.5
1100003,1484,2022-06-01,08:05:00,109,2,5,7.58
1100003,1484,2022-06-01,08:05:00,115,1,0,8.99
1100004,1229,2022-06-01,08:06:00,110,1,0,5.99
1100005,1261,2022-06-01,08:07:00,110,3,0,17.97
1100006,1919,2022-06-01,08:08:00,104,3,0,37.5
1100006,1919,2022-06-01,08:08:00,111,1,0,6.99
1100006,1919,2022-06-01,08:08:00,115,3,0,26.97
1100007,1894,2022-06-01,08:09:00,102,1,0,13.5
1100007,1894,2022-06-01,08:09:00,115,1,0,8.99
1100008,1392,2022-06-01,08:12:00,124,1,15,5.09
1100009,1774,2022-06-01,08:13:00,124,2,0,11.98
1100010,1812,2022-06-01,08:14:00,103,2,0,25.98
1100010,1812,2022-06-01,08:14:00,113,2,0,17.98
1100010,1812,2022-06-01,08:14:00,116,3,0,25.5
1100011,1355,2022-06-01,08:16:00,104,1,0,12.5
1100011,1355,2022-06-01,08:16:00,112,1,0,11.99
1100011,1355,2022-06-01,08:16:00,115,3,0,26.97
1100012,1238,2022-06-01,08:17:00,107,3,5,32.78
1100012,1238,2022-06-01,08:17:00,109,3,0,11.97
1100012,1238,2022-06-01,08:17:00,116,3,0,25.5
1100013,1256,2022-06-01,08:19:00,131,1,0,12.99
1100013,1256,2022-06-01,08:19:00,110,2,0,11.98
1100013,1256,2022-06-01,08:19:00,123,3,0,17.97
1100014,1362,2022-06-01,08:19:00,104,2,0,25.0
1100014,1362,2022-06-01,08:19:00,112,2,0,23.98
1100014,1362,2022-06-01,08:19:00,115,3,0,26.97
1100015,1952,2022-06-01,08:20:00,123,3,0,17.97
1100016,1393,2022-06-01,08:20:00,134,3,10,36.45
1100016,1393,2022-06-01,08:20:00,113,1,0,8.99
1100016,1393,2022-06-01,08:20:00,125,1,0,5.99
1100017,1458,2022-06-01,08:21:00,111,1,0,6.99
1100018,1548,2022-06-01,08:21:00,103,2,0,25.98
1100018,1548,2022-06-01,08:21:00,111,2,15,11.88
1100018,1548,2022-06-01,08:21:00,115,2,0,17.98
1100019,1775,2022-06-01,08:22:00,104,3,0,37.5
1100019,1775,2022-06-01,08:22:00,123,3,0,17.97
1100020,1954,2022-06-01,08:25:00,102,1,0,13.5
1100020,1954,2022-06-01,08:25:00,109,1,0,3.99
1100020,1954,2022-06-01,08:25:00,125,3,0,17.97
1100021,1283,2022-06-01,08:26:00,125,1,0,5.99
1100022,1020,2022-06-01,08:28:00,124,2,0,11.98
1100023,1207,2022-06-01,08:29:00,101,1,0,11.99
1100023,1207,2022-06-01,08:29:00,114,2,5,28.48
1100023,1207,2022-06-01,08:29:00,125,3,0,17.97
1100024,1163,2022-06-01,08:30:00,134,3,0,40.5
1100024,1163,2022-06-01,08:30:00,109,1,0,3.99
1100024,1163,2022-06-01,08:30:00,125,1,0,5.99
1100025,1665,2022-06-01,08:32:00,108,2,0,25.98
1100025,1665,2022-06-01,08:32:00,124,2,0,11.98
1100026,1697,2022-06-01,08:35:00,132,3,0,41.97
1100026,1697,2022-06-01,08:35:00,113,2,10,16.18
1100026,1697,2022-06-01,08:35:00,125,3,0,17.97
1100027,1494,2022-06-01,08:35:00,124,3,0,17.97
1100028,1243,2022-06-01,08:36:00,108,3,0,38.97
1100028,1243,2022-06-01,08:36:00,110,1,0,5.99
1100028,1243,2022-06-01,08:36:00,115,1,0,8.99
1100029,1668,2022-06-01,08:39:00,124,3,0,17.97
1100030,1821,2022-06-01,08:42:00,111,1,0,6.99
1100031,1018,2022-06-01,08:42:00,123,3,0,17.97
1100032,1074,2022-06-01,08:43:00,101,3,0,35.97
1100032,1074,2022-06-01,08:43:00,111,1,0,6.99
1100032,1074,2022-06-01,08:43:00,116,3,0,25.5
1100033,1813,2022-06-01,08:44:00,116,2,0,17.0
1100034,1983,2022-06-01,08:45:00,106,2,0,21.98
1100034,1983,2022-06-01,08:45:00,111,3,0,20.97
1100034,1983,2022-06-01,08:45:00,115,2,0,17.98
1100035,1604,2022-06-01,08:46:00,101,3,0,35.97
1100035,1604,2022-06-01,08:46:00,109,3,5,11.37
1100035,1604,2022-06-01,08:46:00,123,3,0,17.97
1100036,1857,2022-06-01,08:46:00,134,3,0,40.5
1100036,1857,2022-06-01,08:46:00,124,2,0,11.98
1100037,1349,2022-06-01,08:48:00,103,3,0,38.97
1100037,1349,2022-06-01,08:48:00,112,3,5,34.17
1100037,1349,2022-06-01,08:48:00,124,1,5,5.69
1100038,1853,2022-06-01,08:49:00,101,1,5,11.39
1100038,1853,2022-06-01,08:49:00,109,3,0,11.97
1100038,1853,2022-06-01,08:49:00,125,2,0,11.98
1100039,1006,2022-06-01,08:49:00,135,2,0,29.98
1100039,1006,2022-06-01,08:49:00,125,1,0,5.99
1100040,1366,2022-06-01,08:50:00,131,3,0,38.97
1100040,1366,2022-06-01,08:50:00,124,2,0,11.98
1100041,1841,2022-06-01,08:50:00,124,1,0,5.99
1100042,1880,2022-06-01,08:51:00,131,3,0,38.97
1100042,1880,2022-06-01,08:51:00,112,2,0,23.98
1100042,1880,2022-06-01,08:51:00,115,3,0,26.97
