order_id,client_id,order_date,order_time,menu_item_id,quantity,discount (%),total_price ($)
1000001,1847,2022-05-01,08:00:00,134,1,0,13.5
1000001,1847,2022-05-01,08:00:00,111,3,0,20.97
1000001,1847,2022-05-01,08:00:00,123,2,0,11.98
1000002,1516,2022-05-01,08:01:00,108,1,0,12.99
1000002,1516,2022-05-01,08:01:00,140,1,5,2.84
1000003,1344,2022-05-01,08:01:00,105,2,0,29.98
1000003,1344,2022-05-01,08:01:00,137,2,15,7.65
1000004,1399,2022-05-01,08:02:00,123,2,15,10.18
1000005,1706,2022-05-01,08:02:00,101,1,0,11.99
1000005,1706,2022-05-01,08:02:00,109,2,0,7.98
1000005,1706,2022-05-01,08:02:00,125,3,0,17.97
1000006,1809,2022-05-01,08:02:00,123,3,0,17.97
1000007,1880,2022-05-01,08:04:00,131,3,0,38.97
1000007,1880,2022-05-01,08:04:00,114,2,0,29.98
1000007,1880,2022-05-01,08:04:00,118,2,0,15.0
1000008,1038,2022-05-01,08:05:00,135,1,0,14.99
1000008,1038,2022-05-01,08:05:00,110,2,0,11.98
1000008,1038,2022-05-01,08:05:00,121,3,0,8.97
1000009,1117,2022-05-01,08:06:00,102,2,10,24.3
1000009,1117,2022-05-01,08:06:00,113,3,0,26.97
1000009,1117,2022-05-01,08:06:00,137,3,0,13.5
1000010,1670,2022-05-01,08:06:00,105,3,0,44.97
1000010,1670,2022-05-01,08:06:00,110,2,0,11.98
1000010,1670,2022-05-01,08:06:00,124,1,0,5.99
1000011,1707,2022-05-01,08:09:00,133,1,15,12.32
1000011,1707,2022-05-01,08:09:00,137,3,0,13.5
1000012,1440,2022-05-01,08:12:00,134,3,0,40.5
1000012,1440,2022-05-01,08:12:00,138,1,0,4.99
1000013,1755,2022-05-01,08:13:00,108,2,0,25.98
1000013,1755,2022-05-01,08:13:00,114,1,0,14.99
1000013,1755,2022-05-01,08:13:00,120,2,15,8.48
1000014,1851,2022-05-01,08:15:00,113,2,0,17.98
1000015,1921,2022-05-01,08:18:00,137,1,10,4.05
1000016,1631,2022-05-01,08:20:00,103,2,0,25.98
1000016,1631,2022-05-01,08:20:00,109,1,0,3.99
1000016,1631,2022-05-01,08:20:00,125,1,0,5.99
